,City,Cloud Coverage (%),Humidity (%),Lattitude,Longitude,Temperature (°F),Wind Speed (mph)
51,bluff,0,46,-23.58,149.07,76.92,15.35
52,ketchikan,90,87,55.34,-131.65,48.2,2.71
53,paamiut,56,97,61.99,-49.67,35.25,21.16
54,padang,0,100,-0.92,100.36,82.05,4.72
55,puerto ayora,0,97,-0.74,-90.35,74.4,10.42
56,eucaliptus,0,76,-17.6,-67.51,25.98,3.38
57,luba,8,71,17.32,120.7,87.36,3.6
58,port alfred,92,100,-33.59,26.89,59.1,6.4
59,birao,56,72,10.3,22.78,75.3,6.73
60,moissala,24,86,8.34,17.77,74.31,3.49
61,archidona,92,98,-0.91,-77.81,59.19,2.59
62,hovd,75,81,63.83,10.7,50.0,3.36
63,saldanha,24,92,41.42,-6.55,43.8,2.71
64,saskylakh,0,93,71.97,114.09,39.93,9.86
65,oum hadjer,0,63,13.3,19.7,79.98,10.65
66,albany,20,53,42.65,-73.75,66.07,3.36
67,provideniya,0,97,64.42,-173.23,34.44,7.74
68,klaksvik,32,93,62.23,-6.59,42.8,1.12
69,yerbogachen,36,46,61.28,108.01,59.1,8.52
70,longyearbyen,75,74,78.22,15.63,30.2,9.17
71,samarinda,88,86,-0.5,117.14,83.31,2.15
72,cayenne,64,100,4.94,-52.33,75.2,5.39
73,mar del plata,0,58,-46.43,-67.52,58.56,19.04
74,juba,0,81,57.82,26.93,46.4,5.82
75,superior,90,59,47.19,-114.89,61.47,4.7
76,kodiak,1,61,39.95,-94.76,80.6,6.93
77,bandar,68,100,-4.2,104.14,79.71,4.61
78,khatanga,8,97,71.98,102.47,35.97,4.27
79,luderitz,32,90,-26.65,15.16,53.07,11.65
80,kugulta,0,72,45.36,42.37,66.2,8.95
81,san patricio,0,88,-26.98,-56.83,53.88,2.15
82,busselton,56,100,-33.64,115.35,64.32,29.33
83,vila velha,20,88,-3.71,-38.6,78.8,4.7
84,eenhana,12,50,-17.48,16.34,58.74,8.97
85,east london,92,100,-33.02,27.91,60.45,1.14
86,dolni dabnik,68,96,43.41,24.45,60.63,3.15
87,constitucion,40,22,23.99,-104.67,77.0,5.17
88,gazojak,0,24,41.19,61.4,75.75,6.62
89,camabatela,0,86,-8.19,15.37,53.79,2.59
90,geraldton,90,87,49.72,-86.95,57.2,23.04
91,bethel,90,58,60.79,-161.76,53.6,17.22
92,gasa,8,93,27.91,89.73,33.09,1.92
93,yulara,88,27,-25.24,130.99,77.0,10.29
94,lafia,76,89,8.5,8.51,74.58,7.63
95,siddapur,12,86,13.66,74.91,81.78,1.81
96,dikson,92,100,73.51,80.55,25.53,12.21
97,bandarbeyla,0,96,9.49,50.81,82.14,32.57
98,nome,1,78,30.04,-94.42,77.9,3.36
99,manicore,0,95,-5.81,-61.3,75.93,2.04
100,merauke,44,80,-8.49,140.4,84.03,20.04
101,nanortalik,88,96,60.14,-45.24,32.82,16.69
102,saint-augustin,0,88,44.83,-0.61,63.39,2.24
103,port hedland,90,65,-20.31,118.58,82.4,10.29
104,mathbaria,48,81,22.29,89.96,88.98,9.31
105,potiskum,8,66,11.71,11.08,78.63,10.76
106,tiksi,12,89,71.64,128.87,39.66,10.31
107,port lincoln,92,76,-34.72,135.86,65.67,17.81
108,chernyshevskiy,32,54,63.01,112.47,53.25,7.18
109,kamenka,0,52,53.19,44.05,47.4,13.22
110,salinopolis,64,100,-0.61,-47.36,79.62,7.52
111,port hardy,90,71,50.7,-127.42,55.4,9.17
112,wuxi,8,85,31.58,120.3,79.89,8.75
113,clyde river,90,92,70.47,-68.59,23.0,12.75
114,altoona,1,60,40.52,-78.39,71.58,3.94
115,pangoa,24,96,-12.12,-73.0,62.34,1.03
116,dakar,0,88,14.69,-17.45,69.8,6.93
117,cianjur,64,85,-6.82,107.14,81.33,3.6
118,alexandria,20,94,31.31,-92.44,71.6,5.73
119,ribeira grande,0,100,38.52,-28.7,63.24,4.16
120,inhambane,12,100,-23.87,35.38,69.09,4.83
121,sambava,80,100,-14.27,50.17,75.03,17.69
122,severo-kurilsk,80,98,50.68,156.12,37.86,8.41
123,beringovskiy,0,93,63.05,179.32,37.14,3.71
124,nisia floresta,40,88,-6.09,-35.21,75.2,9.17
125,shahr-e kord,20,93,32.33,50.85,42.8,2.24
126,tres arroyos,12,64,-38.38,-60.28,52.89,14.9
127,hilo,75,74,19.71,-155.08,78.8,16.11
128,valdepenas,0,90,38.76,-3.38,47.94,2.71
129,namatanai,20,91,-3.66,152.44,86.64,9.31
130,salalah,90,88,17.01,54.1,80.6,29.97
131,shache,0,33,38.42,77.24,66.03,4.38
132,buraydah,0,39,26.33,43.97,78.8,3.36
133,dauphin,40,82,51.15,-100.04,66.2,5.82
134,saint george,64,92,39.45,22.34,59.91,2.59
135,maungatapere,24,68,-35.76,174.21,58.29,20.71
136,westport,0,100,53.8,-9.52,49.29,7.96
137,russell,0,81,-33.01,-68.8,50.0,3.36
138,airai,0,59,-8.93,125.41,82.59,2.15
139,biak,56,88,-0.91,122.88,82.14,3.6
140,cherskiy,0,79,68.75,161.3,38.31,3.49
141,punta umbria,68,99,37.18,-6.97,60.54,3.04
142,souillac,8,93,45.6,-0.6,60.8,3.36
143,labytnangi,0,100,66.66,66.39,25.53,5.61
144,fortuna,0,93,38.18,-1.13,64.4,4.7
145,genhe,0,58,50.78,121.52,55.41,10.42
146,sola,0,62,62.78,29.36,59.0,4.7
147,jalu,0,65,29.03,21.55,67.11,13.67
148,aklavik,90,92,68.22,-135.01,28.4,14.99
149,talnakh,80,95,69.49,88.39,30.21,17.47
150,sao filipe,24,100,14.9,-24.5,69.9,14.0
151,bikin,8,53,46.82,134.25,62.88,3.38
152,pevek,0,96,69.7,170.27,33.36,2.93
153,arraial do cabo,32,93,-22.97,-42.02,69.72,7.18
154,francisco sa,8,93,-16.48,-43.49,61.17,12.21
155,cidreira,8,95,-30.17,-50.22,56.04,10.87
156,ocumare del tuy,20,88,10.11,-66.78,77.0,1.59
157,atuona,8,100,-9.8,-139.03,80.52,16.02
158,eyl,0,79,7.98,49.82,80.34,20.04
159,kavieng,32,100,-2.57,150.8,86.19,8.86
160,nabire,80,91,-3.36,135.5,76.74,2.59
161,lavrentiya,44,93,65.58,-170.99,34.08,4.83
162,mahebourg,20,78,-20.41,57.7,73.4,8.05
163,antofagasta,90,76,-23.65,-70.4,57.2,4.7
164,kuytun,44,65,54.34,101.51,52.44,4.72
165,ushibuka,100,100,32.19,130.02,63.87,12.21
166,puerto escondido,90,74,15.86,-97.07,84.2,5.82
167,cerkezkoy,0,93,41.28,28.0,62.6,10.29
168,hit,8,25,33.64,42.83,79.08,5.95
169,pimentel,32,89,-3.7,-45.5,76.47,4.5
170,marsh harbour,76,99,26.54,-77.06,78.09,15.68
171,brisbane,40,56,-27.47,153.02,69.8,9.17
172,esperance,20,88,10.24,-61.45,77.0,4.38
173,husavik,56,81,50.56,-96.99,67.02,2.93
174,burgeo,48,95,47.61,-57.61,40.47,4.61
175,flinders,0,48,-34.58,150.85,66.2,6.93
176,grand island,1,51,40.92,-98.34,81.41,8.05
177,leningradskiy,68,100,69.38,178.42,29.58,4.94
178,faanui,20,100,-16.48,-151.75,81.33,16.46
179,gold coast,75,68,-28.0,153.41,68.0,16.11
180,muisne,92,99,0.61,-80.02,73.14,3.83
181,goderich,8,71,43.74,-81.71,64.59,8.86
182,mlonggo,24,93,-6.53,110.7,84.39,4.94
183,shihezi,0,33,44.3,86.03,71.07,4.61
184,lasa,80,88,34.92,32.53,66.76,8.05
185,eureka,90,93,40.8,-124.16,50.88,12.75
186,kudahuvadhoo,64,100,2.67,72.89,82.5,15.23
187,serebryansk,75,67,49.68,83.3,57.2,11.18
188,torbay,90,100,47.66,-52.73,32.0,24.16
189,olinda,75,73,-2.03,-79.75,77.0,11.41
190,karaidel,68,61,55.83,56.91,42.18,9.98
191,walvis bay,0,100,-22.95,14.51,60.72,10.09
192,bredasdorp,24,93,-34.53,20.04,51.8,11.21
193,yarmouth,80,93,50.71,-1.5,55.38,8.05
194,ilulissat,40,44,69.22,-51.1,39.2,16.11
195,manta,44,85,45.1,24.1,58.56,3.15
196,nyurba,0,30,63.29,118.35,67.74,3.94
197,arys,0,38,42.43,68.8,75.2,4.47
198,iqaluit,90,73,63.75,-68.52,23.0,17.22
199,kruisfontein,80,100,-34.0,24.73,57.39,5.17
200,richards bay,44,100,-28.77,32.06,63.69,6.17
201,tessalit,12,13,20.2,1.01,81.33,9.64
202,gizo,20,64,31.8,34.94,71.6,2.24
203,rundu,0,80,-17.91,19.77,53.61,4.16
204,codrington,68,78,-28.95,153.24,65.58,6.29
205,syamzha,0,54,60.02,41.06,49.56,11.65
206,sungairaya,56,99,0.7,108.9,81.06,3.94
207,horta,36,82,41.43,2.16,65.32,6.93
208,temecula,1,68,33.49,-117.15,64.26,18.34
209,mount isa,40,42,-20.73,139.49,80.6,14.99
210,tautira,75,61,-17.73,-149.15,82.4,4.7
211,barra patuca,88,100,15.8,-84.28,76.29,4.38
212,rocha,0,90,-34.48,-54.34,45.33,5.17
213,caravelas,92,100,-17.73,-39.27,73.59,15.46
214,kargasok,80,67,59.06,80.87,42.45,3.38
215,brae,88,93,60.4,-1.35,48.96,9.17
216,north bend,75,71,43.41,-124.22,55.4,9.17
217,honningsvag,68,86,70.98,25.97,42.0,31.34
218,chokurdakh,0,100,70.62,147.9,29.31,7.63
219,saint-philippe,90,77,45.36,-73.48,65.32,18.34
220,caldwell,75,87,43.67,-116.69,65.16,21.92
221,somerset east,92,97,-32.72,25.59,52.89,2.82
222,tahe,0,56,52.34,124.71,57.66,4.83
223,lompoc,20,77,34.64,-120.46,59.97,10.29
224,abu road,0,32,24.48,72.78,89.7,1.7
225,kiruna,76,60,67.86,20.23,41.0,16.11
226,nicoya,75,100,10.15,-85.45,75.2,1.92
227,banda aceh,32,90,5.56,95.32,82.77,2.93
228,chabahar,24,94,25.29,60.65,84.93,3.38
229,nishihara,20,50,35.74,139.53,75.2,5.82
230,norman wells,75,31,65.28,-126.83,64.4,4.7
231,linfen,80,58,36.09,111.52,67.29,16.13
232,santa maria,0,100,-29.69,-53.81,48.2,4.7
233,vila,0,72,45.18,8.4,62.29,4.7
234,aksarayskiy,40,68,46.79,48.01,68.0,17.9
235,qaanaaq,64,100,77.48,-69.36,22.29,1.14
236,mana,0,93,43.52,20.24,56.25,2.24
237,barrow,12,64,-38.31,-60.23,52.89,14.9
238,bihariganj,8,76,25.73,86.98,82.95,11.43
239,lorengau,76,96,-2.02,147.27,85.74,11.21
240,henties bay,12,100,-22.12,14.28,57.93,5.17
241,havoysund,40,80,71.0,24.66,41.0,41.38
242,manggar,44,94,-2.88,108.27,85.29,4.5
243,vardo,1,78,39.62,-77.74,76.24,4.7
244,bambous virieux,20,78,-20.34,57.76,73.4,8.05
245,sorong,8,100,-0.86,131.25,84.93,6.17
246,pendleton,90,100,34.65,-82.78,71.04,2.48
247,metkovic,20,93,43.05,17.65,60.8,2.24
248,kamaishi,20,42,39.28,141.86,68.0,5.82
249,qinggang,64,64,28.25,121.28,86.91,8.08
250,kimberley,0,75,-28.74,24.76,41.0,4.7
251,katsuura,0,64,33.93,134.5,69.8,4.7
252,tazovskiy,92,100,67.47,78.7,26.52,18.81
253,bjornevatn,76,61,69.67,29.98,46.4,13.87
254,sitka,0,47,37.17,-99.65,74.31,8.97
255,awbari,12,25,26.59,12.77,77.37,8.19
256,cervo,68,96,-22.19,-46.24,52.44,3.15
257,ingham,92,100,-18.65,146.16,71.16,16.02
258,mahoba,0,15,25.29,79.88,103.56,4.61
259,temozon,100,97,20.8,-88.22,72.24,10.42
260,marrakesh,75,72,31.63,-7.99,59.0,5.82
261,waipawa,12,66,-39.94,176.59,50.01,12.66
262,moerai,76,100,-22.43,-151.33,76.38,9.86
263,ostrovnoy,32,78,68.05,39.51,45.24,17.47
264,egvekinot,68,95,66.32,-179.17,35.61,1.92
265,kungurtug,68,47,50.6,97.53,35.07,3.6
266,chapais,1,50,49.78,-74.86,51.8,11.41
267,zhoucheng,36,94,31.35,119.33,78.36,4.16
268,kahului,40,61,20.89,-156.47,78.8,23.04
269,hwange,0,79,-18.35,26.5,55.41,4.61
270,vanimo,48,100,-2.67,141.3,82.95,9.64
271,griffin,75,88,33.25,-84.26,73.83,2.48
272,sibu,75,88,2.29,111.83,77.0,6.93
273,rapid valley,1,77,44.06,-103.15,68.23,2.37
274,margate,40,66,-43.03,147.26,51.8,8.05
275,emerald,0,47,-23.53,148.16,76.74,15.57
276,butaritari,88,100,3.07,172.79,84.21,11.77
277,whitehorse,75,34,60.72,-135.06,53.6,14.99
278,axim,76,100,4.87,-2.24,79.35,9.31
279,chicama,75,88,-7.84,-79.15,64.4,9.17
280,blind river,90,93,46.19,-82.96,62.02,2.24
281,kaeo,0,58,-35.1,173.78,58.38,20.27
282,churapcha,0,25,62.0,132.43,73.77,10.65
283,santo antonio do monte,64,83,-20.09,-45.29,62.16,4.38
284,solotvyn,90,100,48.71,24.42,53.6,2.24
285,changji,24,93,32.07,116.17,77.01,4.5
286,touros,56,87,-5.2,-35.46,78.81,10.98
287,dingle,36,82,11.0,122.67,85.74,8.19
288,loviisa,0,66,60.46,26.23,50.0,2.24
289,erzin,40,93,36.95,36.2,61.2,5.82
290,veraval,90,93,49.65,0.71,57.78,5.82
291,san cristobal,40,93,-0.39,-78.55,51.8,13.87
292,berlevag,64,93,70.86,29.09,40.74,27.31
293,amuntai,56,90,-2.42,115.25,81.24,1.25
294,haines junction,44,44,60.75,-137.51,43.26,2.59
295,daru,92,97,7.99,-10.85,73.95,4.61
296,pacific grove,20,72,36.62,-121.92,59.9,11.41
297,abnub,0,36,27.27,31.15,80.6,9.17
298,zamboanguita,40,70,9.1,123.2,87.8,6.93
299,beloha,0,84,-25.17,45.06,58.56,2.82
300,guider,12,77,9.93,13.94,73.41,4.94
301,cabo san lucas,20,23,22.89,-109.91,88.81,12.75
302,schitu-golesti,0,76,45.2,25.0,57.21,4.72
303,hami,0,46,42.84,93.51,66.03,6.96
304,tremedal,20,96,-14.98,-41.41,59.1,9.42
305,svetlaya,44,90,46.54,138.33,46.05,7.07
306,srednekolymsk,20,54,67.46,153.71,45.78,3.38
307,cap malheureux,20,78,-19.98,57.61,73.4,8.05
308,mitsamiouli,56,100,-11.38,43.28,78.54,7.4
309,zhengjiatun,80,54,43.51,123.51,70.71,11.43
310,hay river,40,71,60.82,-115.79,53.6,12.75
311,cabo rojo,75,88,18.09,-67.15,77.07,6.93
312,whitecourt,75,59,54.14,-115.68,64.4,4.7
313,sur,0,97,22.57,59.53,82.32,11.77
314,show low,1,13,34.25,-110.03,77.85,11.41
315,sayyan,0,44,15.17,44.32,46.05,1.92
316,lengshuitan,12,68,26.41,111.6,89.34,10.42
317,yevsino,92,100,54.42,83.32,45.42,5.95
318,nemuro,75,58,43.32,145.57,59.0,13.87
319,broome,32,100,52.47,1.45,56.5,4.7
320,kalawit,8,80,7.91,122.53,86.55,3.38
321,skibbereen,75,87,51.55,-9.27,55.4,9.17
322,bani,8,89,15.89,120.27,85.92,0.92
323,chany,92,97,55.31,76.76,40.29,19.48
324,dukat,0,87,42.44,22.31,50.91,2.71
325,yamethin,0,64,20.43,96.14,87.81,10.65
326,kaitangata,64,89,-46.28,169.85,49.38,22.28
327,kirakira,92,100,-10.46,161.92,78.0,10.98
328,mungaa,0,93,-4.97,34.86,57.75,9.98
329,najran,0,21,17.54,44.22,71.6,2.24
330,nizhniy kuranakh,8,39,58.84,125.49,68.01,3.49
331,bukachacha,0,53,52.99,116.91,64.95,6.85
332,nhulunbuy,75,58,-12.18,136.78,84.2,20.8
333,grand gaube,20,78,-20.01,57.66,73.4,8.05
334,coquimbo,90,93,-29.95,-71.34,51.8,2.24
335,camacupa,0,75,-12.02,17.48,50.91,3.71
336,ancud,92,96,-41.87,-73.83,50.91,6.17
337,garden city,1,47,40.73,-73.63,75.18,5.82
338,caconda,64,59,-13.73,15.06,55.23,7.85
339,waingapu,8,60,-9.65,120.26,86.28,10.09
340,bloomsburg,75,78,41.0,-76.45,70.97,4.16
341,aracuai,0,89,-16.85,-42.07,63.06,6.62
342,oktyabrskoye,88,73,56.73,85.44,44.79,3.6
343,qingdao,0,49,36.09,120.35,73.4,8.95
344,karak,0,42,31.18,35.7,64.4,3.27
345,pangnirtung,88,92,66.15,-65.72,24.72,6.62
346,ikom,76,93,5.96,8.72,74.22,3.15
347,shakawe,0,84,-18.36,21.84,51.9,2.82
348,victoria,75,74,5.28,115.24,87.04,3.36
349,isangel,92,100,-19.55,169.27,75.03,23.96
350,mucuri,92,100,-18.08,-39.55,69.72,10.31
351,bahia honda,92,100,22.9,-83.16,71.16,8.52
352,yudong,20,44,35.16,126.9,75.2,8.05
353,sioux lookout,75,82,50.1,-91.92,68.41,3.36
354,akdepe,0,15,42.05,59.39,71.83,2.24
355,buala,76,96,-8.15,159.59,82.5,4.38
356,lauro muller,0,89,-28.39,-49.4,46.86,3.27
357,guerrero negro,88,83,27.97,-114.04,61.89,15.68
358,mumford,68,92,5.26,-0.76,77.01,5.95
359,solnechnyy,0,54,50.72,136.64,58.2,5.95
360,miyoshi,0,43,34.81,132.85,74.57,6.93
361,san policarpo,68,88,12.18,125.51,85.74,9.19
362,ferkessedougou,76,83,9.6,-5.2,76.38,8.08
363,birobidzhan,0,55,48.79,132.93,61.53,3.6
364,tabas,44,12,33.6,56.92,67.11,3.15
365,ornskoldsvik,20,66,63.29,18.72,54.57,5.82
366,poum,0,94,41.28,20.71,49.38,1.7
367,ola,92,50,59.58,151.3,53.6,11.18
368,la roda,90,87,39.21,-2.16,59.0,3.36
369,shaoyang,20,74,27.23,111.45,87.54,2.37
370,sechura,0,82,-5.56,-80.82,68.82,10.2
371,ballina,0,99,54.11,-9.15,48.48,6.62
372,oga,12,79,8.18,5.65,77.01,11.1
373,neyshabur,0,41,36.21,58.79,61.89,2.93
374,shu,0,19,43.6,73.76,76.56,7.74
375,lovington,1,42,32.94,-103.35,84.2,4.16
376,lac du bonnet,56,70,50.25,-96.06,68.64,4.38
377,cockburn town,12,94,21.46,-71.14,79.89,20.04
378,fare,88,100,-16.7,-151.02,81.06,15.68
379,kinablangan,20,100,7.69,126.55,82.68,5.5
380,san gregorio,20,100,-36.28,-71.82,42.8,4.7
381,nouakchott,0,95,18.08,-15.98,68.73,19.6
382,touba,0,57,14.86,-15.88,71.34,9.42
383,nizhniy baskunchak,36,35,48.22,46.83,69.81,29.21
384,turukhansk,56,100,65.8,87.96,28.41,9.53
385,coihaique,20,81,-45.58,-72.07,43.57,5.82
386,nadaun,20,23,31.78,76.34,83.49,3.71
387,rorvik,32,100,64.86,11.24,45.24,3.27
388,zhigansk,0,48,66.77,123.37,54.87,4.16
389,baruun-urt,92,100,46.68,113.28,52.71,7.18
390,chisinau,0,63,47.01,28.86,64.4,6.93
391,lasem,24,86,-6.99,112.52,86.28,2.15
392,mount gambier,20,77,-37.83,140.78,57.39,5.84
393,lashio,92,84,22.93,97.75,76.2,2.82
394,kalasin,75,83,16.43,103.51,80.6,3.36
395,alice springs,32,29,-23.7,133.88,78.8,12.75
396,amga,8,28,60.89,131.98,73.86,6.51
397,anadyr,75,69,64.73,177.51,37.4,6.71
398,betul,20,28,21.92,77.9,92.58,5.17
399,agirish,0,44,61.92,63.02,40.56,4.27
400,berdigestyakh,0,32,62.1,126.7,69.45,6.62
401,jiuquan,0,68,39.73,98.49,47.94,6.17
402,adelanto,1,45,34.58,-117.41,65.01,20.8
403,ponta delgada,75,77,37.73,-25.67,60.8,8.05
404,beaucaire,0,87,43.81,4.64,61.07,2.71
405,sioux falls,1,60,43.55,-96.7,74.37,3.36
406,raudeberg,0,87,61.99,5.14,51.8,9.17
407,qaqortoq,68,60,60.72,-46.03,41.0,9.17
408,zemio,44,98,5.02,25.13,68.01,2.26
409,lagoa,40,93,37.14,-8.45,60.8,4.7
410,barmer,0,33,25.74,71.4,89.79,13.44
411,karratha,80,42,-20.74,116.85,76.56,11.99
412,mweka,0,90,-4.85,21.56,70.26,2.26
413,hobyo,8,83,5.35,48.53,79.08,20.04
414,general roca,0,87,-39.03,-67.58,42.8,3.15
415,gimli,56,81,50.63,-96.99,67.02,2.93
416,baykit,12,58,61.68,96.39,51.45,8.63
417,aguimes,75,77,27.91,-15.45,64.4,9.17
418,yerofey pavlovich,0,48,53.97,121.97,57.66,5.17
419,cuiluan,92,100,47.72,128.65,48.66,5.84
420,maromitsa,0,44,59.87,48.01,45.33,3.6
421,salisbury,90,87,51.07,-1.8,54.23,4.7
422,namalenga,0,92,-10.95,39.1,62.43,2.71
423,vytegra,0,59,61.01,36.45,51.18,8.63
424,thinadhoo,44,100,0.53,72.93,84.75,12.66
425,camacha,20,67,33.08,-16.33,61.83,14.99
426,teluknaga,40,74,-6.1,106.64,87.8,3.36
427,souris,75,87,46.36,-62.25,51.8,3.36
428,rondonopolis,0,76,-16.46,-54.64,63.6,0.81
429,cheney,40,49,47.49,-117.58,74.28,9.17
430,kisangani,56,100,0.52,25.21,70.08,5.06
431,grindavik,90,100,63.84,-22.43,45.68,35.57
432,guanica,40,83,17.97,-66.91,76.87,6.93
433,fereydunshahr,0,71,32.94,50.12,42.09,2.04
434,ponta do sol,80,94,-20.63,-46.0,56.49,4.94
435,djenne,76,87,13.91,-4.55,75.66,14.23
436,saint-pierre,0,82,48.95,4.24,61.81,9.17
437,thiruvananthapuram,40,83,8.48,76.92,82.4,14.45
438,killarney,44,77,-28.34,152.3,61.35,7.52
439,valentin gomez farias,40,22,24.05,-104.7,77.0,5.17
440,broken hill,68,59,-31.97,141.45,69.72,13.33
441,madison heights,1,41,42.49,-83.11,71.58,5.82
442,puerto leguizamo,92,96,-0.19,-74.78,72.51,2.26
443,zaysan,0,46,47.47,84.87,60.36,2.37
444,kieta,80,99,-6.22,155.63,81.33,4.61
445,easton,1,64,42.02,-71.13,70.95,10.29
446,ulladulla,0,48,-35.36,150.48,66.2,6.93
447,kiunga,64,87,-6.12,141.3,81.69,2.82
448,vostok,12,60,46.45,135.83,57.39,2.93
449,sefton,90,93,53.5,-2.97,55.4,4.7
450,ishigaki,75,74,24.34,124.16,87.8,19.46
451,aswan,0,19,24.09,32.9,86.0,1.12
452,biggar,90,87,55.62,-3.52,53.19,10.29
453,cairns,40,65,-16.92,145.77,78.8,23.04
454,adrar,40,20,27.87,-0.29,87.8,2.71
455,gaoua,44,96,10.33,-3.18,71.7,6.51
456,praia,32,96,-20.25,-43.81,51.72,3.6
457,albacete,90,87,39.0,-1.86,59.0,3.36
458,melville,75,64,50.93,-102.81,69.8,12.75
459,gamboma,12,96,-1.87,15.88,71.25,6.96
460,peru,1,83,41.33,-89.13,72.66,8.05
461,hofn,92,96,64.25,-15.21,45.24,18.14
462,terrace,75,66,54.52,-128.61,51.8,20.8
463,wuwei,56,62,37.93,102.64,50.64,3.94
464,naryan-mar,68,92,67.67,53.09,37.68,9.53
465,el seibo,40,100,18.76,-69.04,73.4,4.05
466,bon accord,75,82,53.84,-113.41,70.25,18.34
467,ewa beach,75,69,21.32,-158.01,78.89,9.17
468,makkaveyevo,80,42,51.75,113.95,62.6,8.95
469,gat,0,86,14.69,-16.54,66.84,8.41
470,okha,0,96,53.59,142.95,46.41,6.4
471,pauri,0,47,30.15,78.78,78.27,2.71
472,abashiri,75,66,44.01,144.25,55.4,14.99
473,nevel,0,72,56.02,29.92,49.56,9.08
474,anicuns,0,74,-16.46,-49.96,62.07,7.4
475,fort nelson,90,48,58.81,-122.69,60.8,9.17
476,sabha,8,32,27.03,14.43,78.09,11.65
477,tomatlan,0,79,19.93,-105.25,76.92,2.71
478,kavaratti,92,100,10.57,72.64,79.44,18.03
479,zhuhai,40,54,40.71,112.04,57.2,17.9
480,harper,1,48,30.3,-99.24,82.38,8.05
481,mount vernon,1,54,48.42,-122.33,57.45,4.7
482,sembakung,68,88,3.82,117.25,82.14,2.82
483,floro,0,87,61.6,5.03,51.8,9.17
484,ambulu,76,99,-8.35,113.61,79.08,6.4
485,moyale,92,100,3.52,39.05,64.86,2.15
486,ternate,20,49,14.29,120.72,93.2,6.93
487,sept-iles,75,90,50.2,-66.38,33.8,2.24
488,kochubey,24,87,44.39,46.54,73.14,13.78
489,paka,0,93,45.29,18.06,62.6,3.36
490,paita,0,83,-5.09,-81.11,67.92,5.39
491,saint anthony,1,24,43.97,-111.68,75.06,2.93
492,vestmannaeyjar,92,98,63.44,-20.27,45.51,28.99
493,sinnamary,68,100,5.38,-52.96,78.63,9.86
494,taoudenni,88,24,22.68,-3.98,86.19,13.22
495,sibolga,36,90,1.74,98.78,78.09,1.59
496,evensk,64,85,61.92,159.24,41.19,2.82
497,cururupu,44,98,-1.82,-44.87,76.2,3.38
498,boa vista,92,98,2.82,-60.67,73.86,2.37
